graph_type,vertices,edges,algorithm,heap,trials,total_us_mean,total_us_median,insert_count_mean,deletemin_count_mean,decreasekey_count_mean,insert_ns_mean,deletemin_ns_mean,decreasekey_ns_mean,heap_ns_mean,heap_fraction_mean
random_sparse,5000,24996,dijkstra,fibonacci,3,3400.6666666666665,3534.0,5000.0,5000.0,9061.333333333334,325833.3333333333,1825633.3333333333,352400.0,2503866.6666666665,0.7373802601261236
random_sparse,5000,24993,dijkstra,pairing,1,1938.0,1938.0,5000.0,5000.0,9136.0,287100.0,459200.0,241000.0,987300.0,0.5094427244582044
random_sparse,5000,24995,dijkstra,pairing,1,1839.0,1839.0,5000.0,5000.0,9069.0,279100.0,434600.0,255800.0,969500.0,0.5271886895051658
random_sparse,5000,24996,dijkstra,pairing,3,1847.0,1842.0,5000.0,5000.0,9078.666666666666,276800.0,432000.0,254133.33333333334,962933.3333333334,0.5213310606573894
random_sparse,1000,4993,prim,fibonacci,1,557.0,557.0,1000.0,1000.0,2374.0,37100.0,297000.0,72400.0,406500.0,0.729802513464991
random_sparse,1000,4994,prim,fibonacci,2,574.5,574.5,1000.0,1000.0,2440.0,42350.0,294650.0,75850.0,412850.0,0.7184551093164538
random_sparse,1000,4998,prim,fibonacci,2,587.0,587.0,1000.0,1000.0,2376.0,50100.0,298850.0,77200.0,426150.0,0.7260242047829115
random_sparse,1000,4993,prim,pairing,1,315.0,315.0,1000.0,1000.0,2382.0,41400.0,60600.0,63600.0,165600.0,0.5257142857142857
random_sparse,1000,4994,prim,pairing,2,320.5,320.5,1000.0,1000.0,2415.5,40450.0,60250.0,65500.0,166200.0,0.5185193300223976
random_sparse,1000,4998,prim,pairing,2,331.0,331.0,1000.0,1000.0,2392.5,48450.0,60850.0,65750.0,175050.0,0.5288427044439563
random_sparse,5000,24993,prim,fibonacci,1,3160.0,3160.0,5000.0,5000.0,12090.0,253100.0,1646000.0,433400.0,2332500.0,0.7381329113924051
random_sparse,5000,24995,prim,fibonacci,1,3058.0,3058.0,5000.0,5000.0,12165.0,266500.0,1561200.0,402400.0,2230100.0,0.7292674950948332
